hour,tx_count,is_capped_hour,collection_cap,unique_accounts,avg_total_fee,median_total_fee,p90_total_fee,min_total_fee,max_total_fee,std_total_fee,avg_gas_used,median_gas_used,avg_compute_fee,avg_storage_fee,avg_action_fee,avg_forward_fee,avg_import_fee,avg_vm_steps,avg_msgs_created,avg_out_msg_count,avg_msg_size_bits,avg_msg_size_cells,failed_tx_ratio,compute_success_ratio,action_success_ratio,avg_transaction_value,total_transaction_value,hour_of_day,day_of_week,is_weekend,fee_lag_1h,fee_lag_3h,fee_lag_6h,fee_lag_12h,fee_lag_24h,rolling_avg_fee_3h,rolling_avg_fee_6h,rolling_avg_fee_12h,rolling_avg_fee_24h,rolling_std_fee_6h,rolling_std_fee_24h,fee_change_1h,fee_change_3h,fee_change_6h,fee_change_12h,fee_change_24h,tx_count_change_1h,tx_count_change_3h,tx_count_change_6h,tx_count_change_24h,gas_used_change_1h,gas_used_change_3h,gas_used_change_6h,gas_used_change_24h,p90_fee_change_1h,p90_fee_change_3h,p90_fee_change_6h,p90_fee_change_24h,hour_sin,hour_cos,day_sin,day_cos,target_next_hour_avg_fee
2026-04-04T00:00:00Z,5000,0,,2238,2150840.7548,987753.0,5019067.800000002,0,43684365,2683933.873923731,3600.3416,1756.0,1440785.28,60140.5638,254465.4644,753202.56,0.0,85.3804,0.6768,0.6854,1481.2264,2.981,0.0876,0.9893732379093472,1.0,64774337714.9846,323871688574923,0,5,1,2160499.2714,2190516.3216,2262854.4154,2231347.4256,2126292.6916,2190934.7394,2146432.0061666667,2130832.1518666665,2174101.6705,111392.98383607196,200518.46243485736,-9658.51659999974,-39675.56679999968,-112013.6605999996,-80506.67079999996,24548.063200000208,0.0,0.0,0.0,0.0,-59.529599999999846,-80.17799999999988,-94.4337999999998,-150.13059999999996,-432905.1000000015,28260.49999999907,-293687.1999999983,-24428.29999999888,0.0,1.0,-0.9749279121818236,-0.2225209339563146,2343808.7704
2026-04-04T01:00:00Z,5000,0,,1971,2343808.7704,1839046.5,5465381.200000002,0,55508485,2867597.225856869,4145.251,2994.0,1658554.8,40809.5722,267379.4928,796334.08,0.0,99.46,0.7022,0.7256,1541.6002,3.2552,0.1032,0.9670116429495472,0.9997770345596432,34458524802.242,172292624011210,1,5,1,2150840.7548,2221788.6252,2090151.5522,2082779.558,2122795.285,2177709.550466667,2127763.062733333,2124123.2626333334,2175124.5064666667,96349.43408119596,200326.5052217518,192968.0155999996,122020.14519999968,253657.21819999977,261029.21239999984,221013.48539999968,0.0,0.0,0.0,0.0,544.9094,436.16780000000017,635.8470000000002,607.7730000000001,446313.4000000004,60564.30000000168,521073.99999999534,431781.2000000021,0.2588190451025207,0.9659258262890684,-0.9749279121818236,-0.2225209339563146,2362656.0478
2026-04-04T02:00:00Z,5000,0,,1492,2362656.0478,2350801.0,5220813.100000006,0,96186413,2632428.204351182,3764.6188,3308.0,1506268.32,43183.051,195618.5326,583897.12,0.0,87.7054,0.4702,0.4884,1152.795,2.3228,0.4008,0.9809910294745836,0.6522969736555628,59803492557.868,299017462789340,2,5,1,2343808.7704,2160499.2714,1952781.8512,2202381.3512,1938996.5472,2218382.9322,2170039.2657666667,2145875.697,2184333.4016916663,127242.70136862891,202880.02916902408,18847.27740000002,202156.77639999983,409874.1965999999,160274.6965999999,423659.5005999999,0.0,0.0,0.0,0.0,-380.6322,104.74760000000016,556.0388000000003,704.7528000000002,-244568.0999999959,-231159.79999999705,283101.6000000015,388319.700000003,0.4999999999999999,0.8660254037844387,-0.9749279121818236,-0.2225209339563146,2382971.2242
2026-04-04T03:00:00Z,5000,0,,2131,2382971.2242,1873567.0,5260260.900000004,0,42301831,2719145.688213045,4171.0262,3308.0,1668943.76,111275.179,248803.508,740982.16,400.0,100.9414,0.6854,0.7066,1444.4028,2.9926,0.0944,0.9783923941227312,1.0,89379458417.1816,446897292085908,3,5,1,2362656.0478,2150840.7548,2190516.3216,2085052.1586,1910250.7564,2285768.524333333,2238351.6318666665,2159231.921716667,2201985.8808833333,92579.1441108956,198999.36605141204,20315.17640000023,232130.46939999983,192454.90260000015,297919.0656000001,472720.4678,0.0,0.0,0.0,0.0,406.40740000000005,570.6846,490.50660000000016,935.6094000000004,39447.79999999795,241193.1000000024,269453.6000000015,391785.9000000041,0.7071067811865475,0.7071067811865476,-0.9749279121818236,-0.2225209339563146,2753909.4792
2026-04-04T04:00:00Z,5000,0,,1883,2753909.4792,2106112.0,6311356.0,0,42598198,3359715.6671536225,5000.8754,3308.0,2000803.12,48825.9638,329136.792,975455.28,0.0,123.233,0.7286,0.75,1926.5054,3.8964,0.078,0.9771137952956136,0.9997831273042724,51413259185.9196,257066295929598,4,5,1,2382971.2242,2343808.7704,2221788.6252,2004243.378,1980006.9298,2363145.3474666667,2270427.4489666666,2184058.510516667,2221682.5670416667,105174.09466601952,192144.9273886245,370938.2549999999,410100.70880000014,532120.8539999998,749666.1011999999,773902.5493999999,0.0,0.0,0.0,0.0,829.8491999999997,855.6243999999997,1291.7922,1865.9658,1051095.099999996,845974.799999998,906539.0999999996,1442394.8999999994,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,2430976.1294
2026-04-04T05:00:00Z,5000,0,,2107,2430976.1294,1855615.0,5604529.0,0,73984571,3423519.144761848,4434.4526,2994.0,1774244.56,53650.0972,248078.693,734485.6,200.0,106.4728,0.6906,0.7082,1432.405,2.9602,0.0942,0.9824371205550736,0.9995585963363496,67217169918.2516,336085849591258,5,5,1,2753909.4792,2362656.0478,2160499.2714,2085589.914,2249707.7216,2499845.5837333333,2359114.257966667,2246530.6856166665,2253928.5066,218862.9657030204,213567.5882574684,-322933.34979999997,68320.08160000015,270476.858,345386.21539999987,181268.40780000016,0.0,0.0,0.0,0.0,-566.4228000000003,669.8337999999994,774.5813999999996,1245.1507999999994,-706827.0,383715.89999999385,152556.09999999683,424398.0,0.9659258262890684,0.2588190451025207,-0.9749279121818236,-0.2225209339563146,2452046.9614
2026-04-04T06:00:00Z,5000,0,,2147,2452046.9614,1858167.0,5607569.600000001,0,141121056,3632137.540725505,4376.6946,2994.0,1751261.2,60124.0856,267963.4208,799590.0,0.0,104.5312,0.7094,0.7146,1541.8324,3.4914,0.0894,0.9842366659468798,0.9989030276437034,22767937216.4196,113839686082098,6,5,1,2430976.1294,2382971.2242,2150840.7548,2262854.4154,2863906.5188,2522618.944266667,2404193.7343,2275312.870233333,2261481.356925,196483.205053106,216595.6553324866,21070.831999999937,69075.73719999986,301206.2065999997,189192.5460000001,-411859.5574000003,0.0,0.0,0.0,0.0,-57.75799999999981,205.66839999999956,776.3529999999996,1089.973,3040.600000000559,347308.69999999646,588501.7999999989,-996374.5000000028,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2490808.2028
2026-04-04T07:00:00Z,5000,0,,2142,2490808.2028,1102393.0,5609596.0,0,100195932,3732409.605818156,4559.1942,1756.0,1824166.8,64831.84,254122.6678,754420.16,0.0,114.3564,0.748,0.753,1484.7928,2.8702,0.0886,0.9908715496631167,0.9995613073042334,24984959639.0436,124924798195218,7,5,1,2452046.9614,2753909.4792,2343808.7704,2090151.5522,2226621.9252,2545644.19,2454394.7687333333,2291078.915733333,2244320.5420333333,152321.7550535704,180017.6223532881,38761.24140000017,-263101.27639999986,146999.43240000028,400656.65060000005,264186.27760000015,0.0,0.0,0.0,0.0,182.4996000000001,-441.6812,413.9431999999997,1059.0164,2026.3999999994412,-701760.0,144214.79999999795,2853.0,0.9659258262890684,-0.2588190451025206,-0.9749279121818236,-0.2225209339563146,2313457.3092
2026-04-04T08:00:00Z,5000,0,,2192,2313457.3092,871912.5,5533596.0,0,65695853,3388672.906513759,3974.4234,1000.0,1590427.12,78637.0734,272532.6236,806785.6,0.0,96.2452,0.7074,0.7136,1600.069,3.1066,0.091,0.9919249236141424,1.0,46724548880.2036,233622744401018,8,5,1,2490808.2028,2430976.1294,2362656.0478,1952781.8512,2349540.814,2457943.7645333335,2478894.674133333,2324466.96995,2255328.3036,142481.42916078048,186836.448653712,-177350.89360000007,-117518.82019999996,-49198.73859999981,360675.4580000001,-36083.50479999976,0.0,0.0,0.0,0.0,-584.7707999999998,-460.0291999999995,209.8045999999999,579.3426,-76000.0,-70933.0,312782.89999999385,-72000.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,2337344.394
2026-04-04T09:00:00Z,5000,0,,2174,2337344.394,835731.0,5603463.0,0,46390953,3233976.133440832,4073.725,1000.0,1630038.16,61532.4186,257615.6754,765909.6,0.0,97.0368,0.7116,0.713,1482.722,3.1584,0.0838,0.9947927967021046,0.9991275899672846,221428490404.3878,1107142452021939,9,5,1,2313457.3092,2452046.9614,2382971.2242,2190516.3216,2466314.2914,2418770.8244666667,2470694.884366667,2354523.2581166667,2253824.824233333,151630.78343754087,186189.41733323364,23887.084799999837,-114702.56740000006,-45626.8302000002,146828.07239999995,-128969.89740000012,0.0,0.0,0.0,0.0,99.30159999999978,-302.9695999999999,-97.30120000000034,132.97859999999991,69867.0,-4106.600000000559,343202.0999999959,-293969.8000000119,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146,2096015.9978
