hour,actual_next_hour_avg_fee,predicted_next_hour_avg_fee,error,absolute_error,model_name
2026-05-19T12:00:00Z,533445.1075930521,534211.2860149393,-766.1784218872199,766.1784218872199,rolling_mean_6h
2026-05-19T13:00:00Z,500778.4343,543499.5957760158,-42721.16147601575,42721.16147601575,rolling_mean_6h
2026-05-19T14:00:00Z,509822.1751,557470.5943154347,-47648.4192154347,47648.4192154347,rolling_mean_6h
2026-05-19T15:00:00Z,515119.2403,530741.5709154346,-15622.330615434621,15622.330615434621,rolling_mean_6h
2026-05-19T16:00:00Z,590567.616,536927.2265887688,53640.38941123127,53640.38941123127,rolling_mean_6h
2026-05-19T17:00:00Z,551731.3271,536565.0378735439,15166.28922645608,15166.28922645608,rolling_mean_6h
2026-05-19T18:00:00Z,529498.7103440929,533577.3167321753,-4078.6063880823785,4078.6063880823785,rolling_mean_6h
2026-05-19T19:00:00Z,572536.0694006309,532919.5838573488,39616.48554328212,39616.48554328212,rolling_mean_6h
2026-05-19T20:00:00Z,568337.916910474,544879.189707454,23458.72720302001,23458.72720302001,rolling_mean_6h
2026-05-19T21:00:00Z,665996.0111248455,554631.813342533,111364.19778231252,111364.19778231252,rolling_mean_6h
2026-05-19T22:00:00Z,610942.5839403247,579777.9418133405,31164.642126984196,31164.642126984196,rolling_mean_6h
2026-05-19T23:00:00Z,592231.6866718628,583173.7698033947,9057.916868468164,9057.916868468164,rolling_mean_6h
2026-05-20T00:00:00Z,579361.7020639147,589923.8297320384,-10562.127668123692,10562.127668123692,rolling_mean_6h
2026-05-20T01:00:00Z,623227.8214408429,598234.3283520088,24993.493088834104,24993.493088834104,rolling_mean_6h
2026-05-20T02:00:00Z,577944.4981580025,606682.9536920441,-28738.455534041626,28738.455534041626,rolling_mean_6h
2026-05-20T03:00:00Z,628758.5269345499,608284.0505666322,20474.476367917727,20474.476367917727,rolling_mean_6h
2026-05-20T04:00:00Z,684945.2662290299,602077.8032015831,82867.46302744676,82867.46302744676,rolling_mean_6h
2026-05-20T05:00:00Z,584889.8775983667,614411.5835830338,-29521.70598466706,29521.70598466706,rolling_mean_6h
2026-05-20T06:00:00Z,487363.0247695852,613187.9487374511,-125824.92396786594,125824.92396786594,rolling_mean_6h
2026-05-20T07:00:00Z,549731.0266406757,597854.8358550628,-48123.80921438709,48123.80921438709,rolling_mean_6h
2026-05-20T08:00:00Z,534004.7729839421,585605.3700550349,-51600.59707109281,51600.59707109281,rolling_mean_6h
2026-05-20T09:00:00Z,497320.5605499736,578282.0825260249,-80961.52197605127,80961.52197605127,rolling_mean_6h
2026-05-20T10:00:00Z,454091.77159965783,556375.7547952621,-102283.98319560429,102283.98319560429,rolling_mean_6h
2026-05-20T11:00:00Z,513898.63754132047,517900.1723570335,-4001.5348157130065,4001.5348157130065,rolling_mean_6h
2026-05-20T12:00:00Z,443342.7183,506068.2990141925,-62725.580714192474,62725.580714192474,rolling_mean_6h
2026-05-20T13:00:00Z,551549.729,498731.5812692616,52818.14773073845,52818.14773073845,rolling_mean_6h
2026-05-20T14:00:00Z,552787.985,499034.698329149,53753.286670851,53753.286670851,rolling_mean_6h
2026-05-20T15:00:00Z,601133.6315,502165.2336651587,98968.39783484134,98968.39783484134,rolling_mean_6h
2026-05-20T16:00:00Z,617813.2365,519467.4121568298,98345.82434317021,98345.82434317021,rolling_mean_6h
2026-05-20T17:00:00Z,544853.1455,546754.3229735534,-1901.1774735534564,1901.1774735534564,rolling_mean_6h
2026-05-20T18:00:00Z,575306.24731722,551913.4076333334,23392.839683886617,23392.839683886617,rolling_mean_6h
2026-05-20T19:00:00Z,603283.8753614518,573907.3291362034,29376.54622524837,29376.54622524837,rolling_mean_6h
2026-05-20T20:00:00Z,632911.2661575918,582529.686863112,50381.5792944798,50381.5792944798,rolling_mean_6h
2026-05-20T21:00:00Z,507043.3021742852,595883.5670560439,-88840.26488175866,88840.26488175866,rolling_mean_6h
2026-05-20T22:00:00Z,620603.3552825036,580201.845501758,40401.509780745604,40401.509780745604,rolling_mean_6h
2026-05-20T23:00:00Z,764604.4342204503,580666.865298842,183937.56892160838,183937.56892160838,rolling_mean_6h
2026-05-21T00:00:00Z,932633.8575470778,617292.0800855838,315341.77746149397,315341.77746149397,rolling_mean_6h
2026-05-21T01:00:00Z,904513.4135088846,676846.6817905601,227666.73171832447,227666.73171832447,rolling_mean_6h
2026-05-21T02:00:00Z,480496.0889611472,727051.6048151323,-246555.51585398515,246555.51585398515,rolling_mean_6h
