hour,actual_next_hour_avg_fee,predicted_next_hour_avg_fee,error,absolute_error,model_name
2026-04-28T04:00:00Z,2404208.105,2371349.9969621543,32858.1080378457,32858.1080378457,ridge_alpha_10
2026-04-28T05:00:00Z,2159578.998,2263747.132693656,-104168.13469365565,104168.13469365565,ridge_alpha_10
2026-04-28T06:00:00Z,1960946.567,2261188.0087198485,-300241.44171984843,300241.44171984843,ridge_alpha_10
2026-04-28T07:00:00Z,2504534.295,2175892.470014292,328641.8249857081,328641.8249857081,ridge_alpha_10
2026-04-28T08:00:00Z,2009996.135,2197098.345479342,-187102.21047934215,187102.21047934215,ridge_alpha_10
2026-04-28T09:00:00Z,2078127.841,2153962.348987653,-75834.5079876529,75834.5079876529,ridge_alpha_10
2026-04-28T10:00:00Z,2064089.028,2061453.7049318184,2635.3230681815185,2635.3230681815185,ridge_alpha_10
2026-04-28T11:00:00Z,2162333.337,2040719.626597967,121613.71040203283,121613.71040203283,ridge_alpha_10
2026-04-28T12:00:00Z,2408746.23,2071423.6014917067,337322.6285082933,337322.6285082933,ridge_alpha_10
2026-04-28T13:00:00Z,2575117.751,1923543.342709675,651574.4082903252,651574.4082903252,ridge_alpha_10
2026-04-28T14:00:00Z,2079568.467,2081007.5499585571,-1439.0829585571773,1439.0829585571773,ridge_alpha_10
2026-04-28T15:00:00Z,1846657.658,2149978.06130772,-303320.40330771985,303320.40330771985,ridge_alpha_10
2026-04-28T16:00:00Z,2012343.917,2083327.9961239675,-70984.07912396756,70984.07912396756,ridge_alpha_10
2026-04-28T17:00:00Z,1888981.949,2064082.5518262002,-175100.6028262002,175100.6028262002,ridge_alpha_10
2026-04-28T18:00:00Z,2121698.04,2044802.6892740012,76895.35072599887,76895.35072599887,ridge_alpha_10
2026-04-28T19:00:00Z,1960822.345,2019175.0908348374,-58352.745834837435,58352.745834837435,ridge_alpha_10
2026-04-28T20:00:00Z,1943012.243,2005283.6315880942,-62271.38858809415,62271.38858809415,ridge_alpha_10
2026-04-28T21:00:00Z,2337664.42,2016384.0563189532,321280.36368104676,321280.36368104676,ridge_alpha_10
2026-04-28T22:00:00Z,2804495.211,2154071.2551828865,650423.9558171136,650423.9558171136,ridge_alpha_10
2026-04-28T23:00:00Z,2421508.303,2228886.3024031734,192622.00059682643,192622.00059682643,ridge_alpha_10
2026-04-29T00:00:00Z,2379382.838,2278962.797502376,100420.04049762385,100420.04049762385,ridge_alpha_10
2026-04-29T01:00:00Z,2358770.833,2219485.482761312,139285.3502386883,139285.3502386883,ridge_alpha_10
2026-04-29T02:00:00Z,2350530.916,2201155.8713566656,149375.04464333458,149375.04464333458,ridge_alpha_10
2026-04-29T03:00:00Z,2503314.447,2232525.7978618927,270788.64913810743,270788.64913810743,ridge_alpha_10
2026-04-29T04:00:00Z,2043906.26,2225314.9406074905,-181408.68060749047,181408.68060749047,ridge_alpha_10
2026-04-29T05:00:00Z,1960465.592,2249076.9993828475,-288611.4073828475,288611.4073828475,ridge_alpha_10
2026-04-29T06:00:00Z,2106330.23,2107315.192573331,-984.9625733308494,984.9625733308494,ridge_alpha_10
2026-04-29T07:00:00Z,1893521.984,1996738.5796598913,-103216.59565989138,103216.59565989138,ridge_alpha_10
2026-04-29T08:00:00Z,2007313.249,2057904.0908167756,-50590.8418167755,50590.8418167755,ridge_alpha_10
2026-04-29T09:00:00Z,2158725.162,1968128.11289555,190597.04910445004,190597.04910445004,ridge_alpha_10
2026-04-29T10:00:00Z,2142336.794,2006126.5636106469,136210.23038935335,136210.23038935335,ridge_alpha_10
2026-04-29T11:00:00Z,2448987.383,2088037.0238689906,360950.3591310093,360950.3591310093,ridge_alpha_10
2026-04-29T12:00:00Z,2118599.192385445,2136147.1500944314,-17547.957708986476,17547.957708986476,ridge_alpha_10
2026-04-29T13:00:00Z,2059433.972,2177112.7175329356,-117678.74553293549,117678.74553293549,ridge_alpha_10
2026-04-29T14:00:00Z,1941957.149,2055329.866409152,-113372.71740915207,113372.71740915207,ridge_alpha_10
2026-04-29T15:00:00Z,2648528.94,2013603.7287065235,634925.2112934764,634925.2112934764,ridge_alpha_10
2026-04-29T16:00:00Z,2215697.714,2021759.9340294125,193937.7799705877,193937.7799705877,ridge_alpha_10
