hour,tx_count,unique_accounts,avg_total_fee,median_total_fee,p90_total_fee,min_total_fee,max_total_fee,std_total_fee,avg_gas_used,median_gas_used,avg_compute_fee,avg_storage_fee,avg_action_fee,avg_forward_fee,avg_import_fee,avg_vm_steps,avg_msgs_created,avg_out_msg_count,avg_msg_size_bits,avg_msg_size_cells,failed_tx_ratio,compute_success_ratio,action_success_ratio,avg_transaction_value,total_transaction_value,hour_of_day,day_of_week,is_weekend,fee_lag_1h,fee_lag_3h,fee_lag_6h,fee_lag_12h,fee_lag_24h,rolling_avg_fee_3h,rolling_avg_fee_6h,rolling_avg_fee_12h,rolling_avg_fee_24h,rolling_std_fee_6h,rolling_std_fee_24h,fee_change_1h,fee_change_3h,fee_change_6h,fee_change_12h,fee_change_24h,tx_count_change_1h,tx_count_change_3h,tx_count_change_6h,tx_count_change_24h,gas_used_change_1h,gas_used_change_3h,gas_used_change_6h,gas_used_change_24h,p90_fee_change_1h,p90_fee_change_3h,p90_fee_change_6h,p90_fee_change_24h,same_hour_prev_day_fee,hour_sin,hour_cos,day_sin,day_cos,target_next_hour_avg_fee
2026-04-14T14:00:00Z,5000,2105,2443129.385,1202584.5,5611889.500000001,0,178416110,4402691.674182327,4320.0952,1756.0,1728499.84,77243.2842,264965.1188,1304133.6592,0.0,103.5902,0.7352,0.737,1531.4386,3.16,0.0828,0.9973907371167645,0.999781992587748,35535747359.2986,177678736796493,14,1,0,2420949.2926,2391177.9048,2434667.9258,2870052.7368,2737583.9366,2378826.9572,2340602.4670666666,2455695.0767,2463156.6864666664,116505.68357436213,200995.3439042812,22180.092399999965,51951.48019999964,8461.459199999925,-426923.3518000003,-294454.55160000036,0.0,0.0,0.0,0.0,238.7439999999997,351.47199999999975,16.964199999999437,-321.6959999999999,-184838.70000000112,-25654.200000005774,-428140.4000000013,-1011437.4999999991,2737583.9366,-0.4999999999999998,-0.8660254037844388,0.7818314824680298,0.6234898018587336,2057658.3544
2026-04-14T15:00:00Z,5000,2448,2057658.3544,788532.5,4869639.600000001,0,107111246,2900840.7523778523,3621.6066,1000.0,1449084.88,33720.4392,215111.8132,1067322.9648,0.0,85.7222,0.7282,0.7302,1238.3698,2.5382,0.0936,0.996704021094265,0.9991181657848325,61314499386.1444,306572496930722,15,1,0,2443129.385,2324353.6742,2118004.2408,2825258.1358,2346379.7948,2396144.1172666666,2342012.710266667,2420118.1307166666,2450887.7468166663,117914.71255491745,192315.19444172553,-385471.0305999997,-266695.3197999997,-60345.88639999973,-767599.7813999997,-288721.44039999973,0.0,0.0,0.0,0.0,-698.4885999999997,-280.93039999999974,3.5471999999999753,-370.7388000000001,-742249.9000000004,-733823.3999999994,-308115.89999999944,-737823.3999999994,2346379.7948,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,2213773.5962
2026-04-14T16:00:00Z,5000,2188,2213773.5962,804527.5,5481892.800000004,0,75700407,3161139.961075582,3889.5976,1000.0,1556344.8,43164.4732,252635.835,1247373.037,0.0,91.9558,0.7316,0.7396,1464.9328,2.9212,0.0954,0.9892849333041767,0.9997789566755084,67523660831.0022,337618304155011,16,1,0,2057658.3544,2420949.2926,2354461.7642,2546529.5372,2505941.0448,2307245.677333333,2331955.0625333334,2356151.482266667,2438857.6868,141131.19061676308,207562.68713353973,156115.24179999996,-207175.69639999978,-140688.16800000006,-332755.9410000001,-292167.44859999977,0.0,0.0,0.0,0.0,267.991,-191.7536,-223.63799999999992,-364.1804000000002,612253.200000003,-314835.3999999985,-134157.69999999646,-1112626.1999999965,2505941.0448,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,2101760.7406
2026-04-14T17:00:00Z,5000,2441,2101760.7406,801093.0,5256531.9,0,74561344,2787721.6500290977,3483.4626,1000.0,1393995.76,43013.3586,240927.2786,1183127.338,0.0,81.8186,0.6944,0.6958,1396.7594,2.7918,0.0912,0.9921397379912664,1.0,35578399997.5918,177891999987959,17,1,0,2213773.5962,2443129.385,2391177.9048,2614551.8598,2583226.337,2238187.1118666665,2308507.0345333335,2328421.820516667,2426684.0431083334,148156.3445059158,211978.06670536465,-112012.8555999999,-341368.64439999964,-289417.1642,-512791.1192000001,-481465.5963999997,0.0,0.0,0.0,0.0,-406.1350000000002,-836.6325999999999,-485.16060000000016,-1009.1536000000006,-225360.90000000317,-355357.60000000056,-381011.80000000633,-823916.9000000041,2583226.337,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,2170148.7314
2026-04-14T18:00:00Z,5000,2338,2170148.7314,797691.0,5180940.2,0,76067983,3101232.3008517507,3649.3888,1000.0,1460297.92,34157.8562,277088.6932,1369272.0048,0.0,85.901,0.7182,0.7202,1613.9286,3.3282,0.0816,0.9969604863221885,1.0,55457031724.9136,277285158624568,18,1,0,2101760.7406,2057658.3544,2324353.6742,2404893.808,2524624.0856,2124397.5637333333,2260270.8405,2285689.22725,2406622.9765916667,162296.44904456253,219179.2067014629,68387.9907999998,112490.37699999986,-154204.94279999984,-234745.07660000026,-354475.35419999994,0.0,0.0,0.0,0.0,165.92620000000034,27.782200000000103,-253.14819999999963,-632.1087999999995,-75591.70000000019,311300.5999999996,-422522.7999999998,-801351.6000000061,2524624.0856,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,2149321.4092
2026-04-14T19:00:00Z,5000,2245,2149321.4092,797732.0,5460581.9,0,71822844,2849222.987448541,3622.1462,1000.0,1449407.12,40108.2232,250186.7088,1233839.454,0.0,86.6478,0.7172,0.7184,1464.014,2.8994,0.0854,0.990899241603467,1.0,34166951359.8668,170834756799334,19,1,0,2170148.7314,2213773.5962,2420949.2926,2163440.0404,2108827.6276,2161894.356066667,2234570.0167,2266127.137533333,2391853.1701666666,162328.60362363185,222795.41614833288,-20827.32219999982,-64452.18699999992,-271627.8833999997,-14118.631199999712,40493.78160000034,0.0,0.0,0.0,0.0,-27.24260000000004,-267.4513999999999,-459.2049999999999,100.76960000000008,279641.7000000002,-21310.900000003166,-336146.3000000017,273653.9000000004,2108827.6276,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,2179731.541
2026-04-14T20:00:00Z,5000,2273,2179731.541,798797.5,5180933.0,0,76494054,3112906.8132306514,3670.5248,1000.0,1468789.92,43926.5338,279737.1232,1377740.3528,400.0,86.9306,0.7272,0.7312,1634.3238,3.3026,0.084,0.9954357748315583,1.0,30706087327.3904,153530436636952,20,1,0,2149321.4092,2101760.7406,2443129.385,2434667.9258,2431944.3166,2140410.2937333337,2189298.7028,2264950.5849333336,2393540.4110666667,135636.2910096551,220702.35869508766,30410.13180000009,77970.80040000007,-263397.8439999996,-254936.38479999965,-252212.77559999982,0.0,0.0,0.0,0.0,48.378600000000006,187.0622000000003,-649.5703999999996,-658.0855999999994,-279648.9000000004,-75598.90000000037,-430956.50000000093,-499652.60000000056,2431944.3166,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,2101130.6164
2026-04-14T21:00:00Z,5000,2262,2101130.6164,802952.5,5046001.700000008,0,40163547,2719238.644624888,3602.2194,1000.0,1441465.04,33379.4342,252993.9574,1254490.5778,200.0,85.5176,0.7038,0.7046,1484.8058,2.9796,0.0802,0.9913793103448276,0.9997826086956522,169511290503.3868,847556452516934,21,1,0,2179731.541,2170148.7314,2057658.3544,2118004.2408,2223259.3392,2166400.5605333336,2145399.062133333,2243705.8862,2383031.5454166667,56717.65483356327,224761.52762014078,-78600.92460000003,-69018.11499999976,43472.262000000104,-16873.624399999622,-122128.72279999964,0.0,0.0,0.0,0.0,-68.30540000000019,-47.16940000000022,-19.38720000000012,-31.4670000000001,-134931.29999999236,-134938.49999999255,176362.10000000708,-348060.7999999933,2223259.3392,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,2222059.214
2026-04-14T22:00:00Z,5000,2284,2222059.214,825085.0,4869517.100000001,0,107110266,3644191.869057062,3973.8718,1000.0,1589890.48,29583.319,235414.0638,1151637.305,0.0,95.2022,0.7226,0.7378,1355.0806,2.6756,0.087,0.9834123222748815,1.0,26841098562.55,134205492812750,22,1,0,2101130.6164,2149321.4092,2213773.5962,2354461.7642,2438119.4422,2143394.5222,2152644.4391333335,2242299.7508333335,2377942.8486333336,44790.07125683539,229860.79139902283,120928.59759999998,72737.80480000004,8285.617800000124,-132402.55019999994,-216060.22819999978,0.0,0.0,0.0,0.0,371.65239999999994,351.72559999999976,84.27419999999984,-199.72040000000015,-176484.60000000708,-591064.7999999998,-612375.700000003,-740078.8999999994,2438119.4422,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,2295197.2158
2026-04-14T23:00:00Z,5000,2149,2295197.2158,1134805.0,5600388.0,0,135471909,3575579.866785374,4052.0564,1756.0,1621249.44,35448.9684,270875.7206,1333891.5126,0.0,96.303,0.7494,0.7522,1555.9632,3.2702,0.089,0.9906481078729883,1.0,24694994840.809,123474974204045,23,1,0,2222059.214,2179731.541,2101760.7406,2391177.9048,2487400.8964,2167640.4571333337,2154025.375433333,2231266.2049833336,2368940.3391250004,47118.887150871444,231625.7306794288,73138.00179999974,115465.67479999969,193436.47519999975,-95980.68900000025,-192203.68060000008,0.0,0.0,0.0,0.0,78.18460000000005,381.5315999999998,568.5938000000001,-486.9104000000002,730870.8999999994,419455.0,343856.0999999996,-336245.30000000354,2487400.8964,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,2413505.2052
