model_name,feature,coefficient_scaled,abs_coefficient_scaled,tree_importance
linear_regression_log1p_target,rolling_avg_fee_12h,0.018967238358355676,0.018967238358355676,
linear_regression_log1p_target,avg_out_msg_count,-0.0186935555541643,0.0186935555541643,
linear_regression_log1p_target,day_of_week,-0.016013046709819623,0.016013046709819623,
linear_regression_log1p_target,avg_storage_fee,0.015940234960571065,0.015940234960571065,
linear_regression_log1p_target,avg_msgs_created,0.015279742765402005,0.015279742765402005,
linear_regression_log1p_target,hour_cos,0.014226230608175072,0.014226230608175072,
linear_regression_log1p_target,avg_vm_steps,-0.012638942167194078,0.012638942167194078,
linear_regression_log1p_target,p90_fee_change_1h,0.011676216964443098,0.011676216964443098,
linear_regression_log1p_target,gas_used_change_6h,0.011340087866019255,0.011340087866019255,
linear_regression_log1p_target,max_total_fee,0.011321894145060352,0.011321894145060352,
linear_regression_log1p_target,rolling_avg_fee_3h,0.01055895220146219,0.01055895220146219,
linear_regression_log1p_target,gas_used_change_3h,0.0102950758023308,0.0102950758023308,
linear_regression_log1p_target,fee_change_12h,0.0101884185131208,0.0101884185131208,
linear_regression_log1p_target,action_success_ratio,0.009619909579837937,0.009619909579837937,
linear_regression_log1p_target,day_sin,-0.009505665604010671,0.009505665604010671,
linear_regression_log1p_target,fee_change_6h,0.008306101163350066,0.008306101163350066,
linear_regression_log1p_target,rolling_std_fee_6h,-0.008118213706642452,0.008118213706642452,
linear_regression_log1p_target,unique_accounts,0.007047507712415135,0.007047507712415135,
linear_regression_log1p_target,gas_used_change_1h,-0.006671550375928481,0.006671550375928481,
linear_regression_log1p_target,rolling_avg_fee_24h,0.006470720362351856,0.006470720362351856,
linear_regression_log1p_target,p90_fee_change_24h,0.006115607443420434,0.006115607443420434,
linear_regression_log1p_target,gas_used_change_24h,-0.005849316606107213,0.005849316606107213,
linear_regression_log1p_target,avg_import_fee,-0.00477183757533417,0.00477183757533417,
linear_regression_log1p_target,rolling_avg_fee_6h,-0.004326751605525647,0.004326751605525647,
linear_regression_log1p_target,median_total_fee,-0.0040175025692318345,0.0040175025692318345,
linear_regression_log1p_target,is_weekend,0.003991506050865401,0.003991506050865401,
linear_regression_log1p_target,hour_of_day,-0.003318881837729881,0.003318881837729881,
linear_regression_log1p_target,rolling_std_fee_24h,-0.0031250109338285537,0.0031250109338285537,
linear_regression_log1p_target,median_gas_used,-0.0029508917189045025,0.0029508917189045025,
linear_regression_log1p_target,hour_sin,0.0028300426508214294,0.0028300426508214294,
linear_regression_log1p_target,fee_lag_12h,0.0017808588491803334,0.0017808588491803334,
linear_regression_log1p_target,avg_msg_size_cells,-0.0017118007767493726,0.0017118007767493726,
linear_regression_log1p_target,total_transaction_value,0.001337919318824321,0.001337919318824321,
linear_regression_log1p_target,avg_transaction_value,0.0013379193185638627,0.0013379193185638627,
linear_regression_log1p_target,compute_success_ratio,-0.0012263146481853449,0.0012263146481853449,
linear_regression_log1p_target,p90_fee_change_3h,-0.0007720195267826302,0.0007720195267826302,
linear_regression_log1p_target,day_cos,-0.0006177935133512835,0.0006177935133512835,
linear_regression_log1p_target,same_hour_prev_day_fee,-0.0005496495285917113,0.0005496495285917113,
linear_regression_log1p_target,fee_lag_24h,-0.0005496495285666203,0.0005496495285666203,
linear_regression_log1p_target,fee_change_24h,6.029776383731367e-05,6.029776383731367e-05,
linear_regression_log1p_target,min_total_fee,-2.284394895468722e-12,2.284394895468722e-12,
linear_regression_log1p_target,tx_count,-7.073230889886872e-13,7.073230889886872e-13,
linear_regression_log1p_target,tx_count_change_24h,2.324807013565078e-13,2.324807013565078e-13,
linear_regression_log1p_target,tx_count_change_1h,1.5010215292932116e-13,1.5010215292932116e-13,
linear_regression_log1p_target,tx_count_change_6h,-1.1168843627729075e-13,1.1168843627729075e-13,
linear_regression_log1p_target,tx_count_change_3h,4.1744385725905886e-14,4.1744385725905886e-14,
ridge_alpha_1,p90_total_fee,-96503.93348767358,96503.93348767358,
ridge_alpha_1,avg_msg_size_bits,93902.79449921579,93902.79449921579,
ridge_alpha_1,avg_forward_fee,-90742.7391255742,90742.7391255742,
ridge_alpha_1,avg_total_fee,89551.48676940634,89551.48676940634,
ridge_alpha_1,fee_change_1h,-85153.79778568732,85153.79778568732,
ridge_alpha_1,failed_tx_ratio,75132.91411445195,75132.91411445195,
